,Artist,Song,Class,probability_vector,label_vector
984,BUNT.,Unbreakable,Motivational,"[0.18655192852020264, 0.3094903826713562, 0.2419317066669464, 0.26690563559532166, 0.012518733739852905, 0.23883056640625, 0.08965477347373962]","[0, 1, 0, 0, 0, 0, 0]"
985,The Score,Legend,Motivational,"[0.21266350150108337, 0.3467038869857788, 0.29634571075439453, 0.2506471872329712, 0.006853938102722168, 0.07875072956085205, 0.0781470537185669]","[0, 1, 0, 0, 0, 0, 0]"
986,Wiz Khalifa,"Work Hard, Play Hard",Motivational,"[0.058078110218048096, 0.05265501141548157, 0.05638238787651062, 0.35079431533813477, 2.190697705373168e-05, 0.24003279209136963, 0.1111229956150055]","[0, 0, 0, 1, 0, 0, 0]"
987,Macklemore,Next Year,Motivational,"[0.08263769745826721, 0.12416300177574158, 0.10118713974952698, 0.16693657636642456, 3.8651465729344636e-05, 0.16040021181106567, 0.0013042688369750977]","[0, 0, 0, 1, 0, 0, 0]"
988,Tech N9ne,Face Off,Motivational,"[0.0899209976196289, 0.060248881578445435, 0.057465583086013794, 0.22703266143798828, 1.0620520697557367e-05, 0.04914972186088562, 0.15313148498535156]","[0, 0, 0, 1, 0, 0, 0]"
989,Jaden,Icon,Motivational,"[0.03682583570480347, 0.06677263975143433, 0.07352989912033081, 0.13240477442741394, 8.056302613113075e-05, 0.1823236048221588, 0.007133126258850098]","[0, 0, 0, 0, 0, 1, 0]"
990,Jay Rock,WIN,Motivational,"[0.029554098844528198, 0.05387178063392639, 0.024546682834625244, 0.22476065158843994, 2.4182336346711963e-06, 0.23284977674484253, 0.004042893648147583]","[0, 0, 0, 0, 0, 1, 0]"
991,Cash Cash,Too Late,Motivational,"[0.14577385783195496, 0.21468079090118408, 0.12515321373939514, 0.12125694751739502, 0.0007347464561462402, 0.2620052397251129, 0.0066408514976501465]","[0, 0, 0, 0, 0, 1, 0]"
992,The Script,Hall of Fame,Motivational,"[0.21851667761802673, 0.24340704083442688, 0.26529067754745483, 0.23775720596313477, 0.001368016004562378, 0.04101920127868652, 0.24868839979171753]","[0, 0, 1, 0, 0, 0, 0]"
993,NF,When I Grow Up,Motivational,"[0.05383503437042236, 0.09899899363517761, 0.0538611114025116, 0.18447905778884888, 1.8115975763066672e-05, 0.019160747528076172, 0.0061051249504089355]","[0, 0, 0, 1, 0, 0, 0]"
994,Macklemore & Ryan Lewis,Wing$,Motivational,"[0.037353962659835815, 0.09844627976417542, 0.07123970985412598, 0.1173521876335144, 4.990876277588541e-06, 0.1276734471321106, 0.010737687349319458]","[0, 0, 0, 0, 0, 1, 0]"
995,DJ Khaled,I DID IT,Motivational,"[0.05482843518257141, 0.06956207752227783, 0.04748576879501343, 0.09429207444190979, 7.4173308348690625e-06, 0.2369489073753357, 0.031043648719787598]","[0, 0, 0, 0, 0, 1, 0]"
996,Travis Scott,​goosebumps,Motivational,"[0.02595961093902588, 0.15812164545059204, 0.08669120073318481, 0.1097601056098938, 0.00014200806617736816, 0.21785131096839905, 0.009758621454238892]","[0, 0, 0, 0, 0, 1, 0]"
997,Mike Perry,One Life,Motivational,"[0.10590791702270508, 0.37374162673950195, 0.28929686546325684, 0.3337293863296509, 0.029031336307525635, 0.20135843753814697, 0.003433912992477417]","[0, 1, 0, 0, 0, 0, 0]"
998,DaBaby,ROCKSTAR,Motivational,"[0.06058475375175476, 0.08516073226928711, 0.04047304391860962, 0.13188061118125916, 1.9916950577680836e-07, 0.25587281584739685, 0.01954120397567749]","[0, 0, 0, 0, 0, 1, 0]"
999,Kanye West,Black Skinhead,Motivational,"[0.08770430088043213, 0.133000910282135, 0.06120419502258301, 0.2819284200668335, 3.3136297133751214e-05, 0.1932356059551239, 0.4647604823112488]","[0, 0, 0, 0, 0, 0, 1]"
1000,The Score,Dreamin,Motivational,"[0.04397997260093689, 0.23212099075317383, 0.08762586116790771, 0.14941778779029846, 2.4520966690033674e-05, 0.179034024477005, 0.0072365403175354]","[0, 1, 0, 0, 0, 0, 0]"
1001,NF,Turn the Music Up,Motivational,"[0.08664718270301819, 0.17834725975990295, 0.09611144661903381, 0.2399708330631256, 0.0006131529808044434, 0.1429479420185089, 0.0161457359790802]","[0, 0, 0, 1, 0, 0, 0]"
1002,Jaden,Watch Me,Motivational,"[0.11302191019058228, 0.15952804684638977, 0.10395139455795288, 0.2069743573665619, 6.0811351431766525e-05, 0.1995851695537567, 0.007999062538146973]","[0, 0, 0, 1, 0, 0, 0]"
1003,"Drake, Kanye West, Lil Wayne & Eminem",Forever,Motivational,"[0.025498777627944946, 0.04900330305099487, 0.0264127254486084, 0.216656893491745, 2.4764210593275493e-06, 0.2306806445121765, 0.12284880876541138]","[0, 0, 0, 0, 0, 1, 0]"
1004,Post Malone,Congratulations,Motivational,"[0.16653820872306824, 0.08876073360443115, 0.07189637422561646, 0.2246713638305664, 7.572751928819343e-05, 0.3084370493888855, 0.012008637189865112]","[0, 0, 0, 0, 0, 1, 0]"
1005,Wiz Khalifa,No Sleep,Motivational,"[0.16399899125099182, 0.11334395408630371, 0.0998694896697998, 0.1811332404613495, 4.879437619820237e-05, 0.18592625856399536, 0.029300600290298462]","[0, 0, 0, 0, 0, 1, 0]"
1006,The Chainsmokers & Kygo,Family,Motivational,"[0.1216355562210083, 0.33359986543655396, 0.1893138587474823, 0.33861440420150757, 0.005865663290023804, 0.2733110785484314, 0.04945814609527588]","[0, 0, 0, 1, 0, 0, 0]"
1007,Elektronomia,Vision,Motivational,"[0.33296358585357666, 0.25278180837631226, 0.26427528262138367, 0.2997148633003235, 0.04043835401535034, 0.29029661417007446, 0.2137061059474945]","[1, 0, 0, 0, 0, 0, 0]"
1008,Eminem,’Till I Collapse,Motivational,"[0.035189807415008545, 0.10519200563430786, 0.03255227208137512, 0.271555095911026, 1.8972528778249398e-05, 0.018512606620788574, 0.01138538122177124]","[0, 0, 0, 1, 0, 0, 0]"
1009,Avicii,The Nights,Motivational,"[0.1733514666557312, 0.3307359218597412, 0.16629791259765625, 0.18212127685546875, 0.0014663934707641602, 0.15706557035446167, 0.04717516899108887]","[0, 1, 0, 0, 0, 0, 0]"
1010,NEFFEX,Best of Me,Motivational,"[0.057452499866485596, 0.16776275634765625, 0.08095350861549377, 0.12921112775802612, 3.655251202872023e-05, 0.09567439556121826, 0.0008732080459594727]","[0, 1, 0, 0, 0, 0, 0]"
1011,The Score,Victorious,Motivational,"[0.09360432624816895, 0.37950989603996277, 0.27511686086654663, 0.20455396175384521, 0.0009800195693969727, 0.08328092098236084, 0.04180607199668884]","[0, 1, 0, 0, 0, 0, 0]"
1012,Logic & Marshmello,Everyday,Motivational,"[0.09830346703529358, 0.15742510557174683, 0.1695486307144165, 0.31585535407066345, 0.002630174160003662, 0.1273495852947235, 0.07407495379447937]","[0, 0, 0, 1, 0, 0, 0]"
1013,NEFFEX,Fight Back,Motivational,"[0.12730959057807922, 0.1446761190891266, 0.07424286007881165, 0.39576256275177, 0.00015908479690551758, 0.1333049237728119, 0.05204746127128601]","[0, 0, 0, 1, 0, 0, 0]"
1014,Avicii,Levels,Motivational,"[0.40565043687820435, 0.42869842052459717, 0.4019151031970978, 0.4340384602546692, 0.2816089391708374, 0.3741976022720337, 0.3204580843448639]","[0, 0, 0, 1, 0, 0, 0]"
1015,Logic,Welcome to Forever,Motivational,"[0.08697158098220825, 0.11133235692977905, 0.08364498615264893, 0.22821232676506042, 2.502046299923677e-05, 0.05897846817970276, 0.01633995771408081]","[0, 0, 0, 1, 0, 0, 0]"
1016,The Score,Head Up,Motivational,"[0.13629010319709778, 0.3291540741920471, 0.2276892364025116, 0.20722457766532898, 0.008125901222229004, 0.2599133849143982, 0.02273520827293396]","[0, 1, 0, 0, 0, 0, 0]"
1017,Post Malone,Better Now,Motivational,"[0.16178646683692932, 0.23192617297172546, 0.23877468705177307, 0.3250647187232971, 0.0024088025093078613, 0.2556323707103729, 0.03279751539230347]","[0, 0, 0, 1, 0, 0, 0]"
1018,Eminem,Venom,Motivational,"[0.014954149723052979, 0.061160653829574585, 0.018371671438217163, 0.14597785472869873, 9.053176768247795e-07, 0.06338480114936829, 0.026945769786834717]","[0, 0, 0, 1, 0, 0, 0]"
1019,Logic,One Day,Motivational,"[0.047907501459121704, 0.12139910459518433, 0.10440874099731445, 0.13039609789848328, 1.0866968295886181e-05, 0.033389657735824585, 0.006572693586349487]","[0, 0, 0, 1, 0, 0, 0]"
1020,Juice WRLD & Marshmello,Come & Go,Motivational,"[0.10223719477653503, 0.3078574538230896, 0.2259349524974823, 0.29058724641799927, 0.016288965940475464, 0.15912508964538574, 0.0019835829734802246]","[0, 1, 0, 0, 0, 0, 0]"
1021,Post Malone,I’m Gonna Be,Motivational,"[0.14085939526557922, 0.11691814661026001, 0.2037259042263031, 0.2892431616783142, 7.738329441053793e-05, 0.3066111207008362, 0.0003293454647064209]","[0, 0, 0, 0, 0, 1, 0]"
1022,Armin van Buuren,This Is What It Feels Like,Motivational,"[0.15118756890296936, 0.41474080085754395, 0.31908875703811646, 0.2510910928249359, 0.03950768709182739, 0.12237343192100525, 0.09792888164520264]","[0, 1, 0, 0, 0, 0, 0]"
1023,Clarence Clarity,Once in the Styx,Motivational,"[0.15299946069717407, 0.3050912618637085, 0.15964531898498535, 0.351012647151947, 0.04470658302307129, 0.0776263177394867, 0.14120051264762878]","[0, 0, 0, 1, 0, 0, 0]"
1024,Kygo & OneRepublic,Lose Somebody,Motivational,"[0.12747853994369507, 0.31815433502197266, 0.3542138934135437, 0.2630942463874817, 0.039701223373413086, 0.286984384059906, 0.001975834369659424]","[0, 0, 1, 0, 0, 0, 0]"
1025,"Don Diablo, Steve Aoki & Lush & Simon",What We Started,Motivational,"[0.25700628757476807, 0.410392701625824, 0.3332977294921875, 0.3152202367782593, 0.058452755212783813, 0.2076214849948883, 0.06348425149917603]","[0, 1, 0, 0, 0, 0, 0]"
1026,Post Malone,Too Young,Motivational,"[0.12043669819831848, 0.12440890073776245, 0.07848760485649109, 0.2076391577720642, 0.0004699528217315674, 0.3346085846424103, 0.03364786505699158]","[0, 0, 0, 0, 0, 1, 0]"
1027,Avicii,Wake Me Up,Motivational,"[0.11939772963523865, 0.385189414024353, 0.3036257028579712, 0.26674917340278625, 0.03132238984107971, 0.2205175757408142, 0.037698894739151]","[0, 1, 0, 0, 0, 0, 0]"
1028,Avicii,Hey Brother,Motivational,"[0.2599536180496216, 0.3936564028263092, 0.29266244173049927, 0.2969452142715454, 0.05219101905822754, 0.2861728072166443, 0.2445528507232666]","[0, 1, 0, 0, 0, 0, 0]"
1029,John De Sohn,Forever Young,Motivational,"[0.17415767908096313, 0.37163031101226807, 0.2842242121696472, 0.16393426060676575, 0.035788536071777344, 0.1570659875869751, 0.006470680236816406]","[0, 1, 0, 0, 0, 0, 0]"
1030,SAINt JHN,Trap,Motivational,"[0.02113667130470276, 0.17129173874855042, 0.0620688796043396, 0.2471696138381958, 7.807761903677601e-06, 0.22144034504890442, 0.002745211124420166]","[0, 0, 0, 1, 0, 0, 0]"
1031,W&W vs Nicky Romero,Ups & Downs,Motivational,"[0.4016943573951721, 0.4279547333717346, 0.40086445212364197, 0.41982540488243103, 0.23918360471725464, 0.33392930030822754, 0.2825983166694641]","[0, 1, 0, 0, 0, 0, 0]"
1032,Mike Perry,Runaway,Motivational,"[0.10192734003067017, 0.3879219591617584, 0.34318193793296814, 0.3440903425216675, 0.03814372420310974, 0.25811195373535156, 0.005367934703826904]","[0, 1, 0, 0, 0, 0, 0]"
1033,Felix Jaehn & MESTO,Never Alone,Motivational,"[0.17931172251701355, 0.41342467069625854, 0.36001449823379517, 0.3200347423553467, 0.03924131393432617, 0.22385922074317932, 0.11613771319389343]","[0, 1, 0, 0, 0, 0, 0]"
1034,Justin Mylo & Navarra,Live Like This,Motivational,"[0.1987895965576172, 0.36025184392929077, 0.2794233560562134, 0.34442922472953796, 0.056640565395355225, 0.21243107318878174, 0.048948079347610474]","[0, 1, 0, 0, 0, 0, 0]"
1035,Don Diablo,The Same Way,Motivational,"[0.29533112049102783, 0.39501744508743286, 0.27797332406044006, 0.33856499195098877, 0.07759156823158264, 0.2074921429157257, 0.2209591269493103]","[0, 1, 0, 0, 0, 0, 0]"
1036,Tungevaag & Raaban,All For Love,Motivational,"[0.11156556010246277, 0.4298176169395447, 0.37128308415412903, 0.28091442584991455, 0.11991947889328003, 0.10131874680519104, 0.011850923299789429]","[0, 1, 0, 0, 0, 0, 0]"
1037,Gryffin & SLANDER,All You Need To Know,Motivational,"[0.24297946691513062, 0.4055843651294708, 0.35763418674468994, 0.29553744196891785, 0.05220288038253784, 0.2195773422718048, 0.06566134095191956]","[0, 1, 0, 0, 0, 0, 0]"
1038,ODESZA,Line of Sight,Motivational,"[0.2337735891342163, 0.39125165343284607, 0.28872668743133545, 0.311867892742157, 0.028455644845962524, 0.2280443012714386, 0.1271142065525055]","[0, 1, 0, 0, 0, 0, 0]"
1039,Galantis,Mama Look at Me Now,Motivational,"[0.3210147023200989, 0.2940153479576111, 0.2042006552219391, 0.2678396701812744, 0.004503726959228516, 0.29225802421569824, 0.04103180766105652]","[1, 0, 0, 0, 0, 0, 0]"
1040,Krewella,Live for the Night,Motivational,"[0.15350213646888733, 0.27133888006210327, 0.20874887704849243, 0.3097226023674011, 0.0008355677127838135, 0.153506338596344, 0.09536364674568176]","[0, 0, 0, 1, 0, 0, 0]"
1041,CAL,My Brother,Motivational,"[0.113819420337677, 0.3186380863189697, 0.20851001143455505, 0.21505838632583618, 0.008149892091751099, 0.3138476014137268, 0.058352261781692505]","[0, 1, 0, 0, 0, 0, 0]"
1042,ILLENIUM & Jon Bellion,Good Things Fall Apart,Motivational,"[0.12530848383903503, 0.3219239115715027, 0.2724372148513794, 0.33053380250930786, 0.023024529218673706, 0.04351389408111572, 0.005917638540267944]","[0, 0, 0, 1, 0, 0, 0]"
1043,Lucas & Steve,Where Have You Gone (Anywhere),Motivational,"[0.22884878516197205, 0.3370375633239746, 0.3175661265850067, 0.31637775897979736, 0.025593876838684082, 0.2995896339416504, 0.01137077808380127]","[0, 1, 0, 0, 0, 0, 0]"
1044,XO Cupid,True Colors,Motivational,"[0.1797436773777008, 0.3766465485095978, 0.31392112374305725, 0.2628040313720703, 0.025047898292541504, 0.19478940963745117, 0.048100024461746216]","[0, 1, 0, 0, 0, 0, 0]"
1045,Jeremy Camp,Word of Life,Motivational,"[0.1486462950706482, 0.3558492064476013, 0.29176515340805054, 0.3292691111564636, 0.01344209909439087, 0.06027612090110779, 0.10784271359443665]","[0, 1, 0, 0, 0, 0, 0]"
1046,The Chainsmokers,Young,Motivational,"[0.14966636896133423, 0.321006178855896, 0.19284820556640625, 0.30134817957878113, 0.017138570547103882, 0.32491546869277954, 0.08406776189804077]","[0, 0, 0, 0, 0, 1, 0]"
1047,NEFFEX,Grateful,Motivational,"[0.10268709063529968, 0.2060929238796234, 0.16648605465888977, 0.31767815351486206, 0.0012091398239135742, 0.21843844652175903, 0.0049402713775634766]","[0, 0, 0, 1, 0, 0, 0]"
1048,Zedd,Beautiful Now,Motivational,"[0.12887027859687805, 0.3549160659313202, 0.3416287302970886, 0.2053554356098175, 0.05452415347099304, 0.0958319902420044, 0.016147375106811523]","[0, 1, 0, 0, 0, 0, 0]"
1049,One Direction,Live While We’re Young,Motivational,"[0.09396874904632568, 0.2693551182746887, 0.23008319735527039, 0.17774853110313416, 0.03509491682052612, 0.2703284025192261, 0.005972743034362793]","[0, 0, 0, 0, 0, 1, 0]"
1050,Dzeko vs. Riggi & Piros,Heaven (feat. Veronica),Motivational,"[0.20455211400985718, 0.377338707447052, 0.36181366443634033, 0.3558950424194336, 0.20569387078285217, 0.18358170986175537, 0.04719844460487366]","[0, 1, 0, 0, 0, 0, 0]"
1051,Liam Payne & Cheat Codes,Live Forever,Motivational,"[0.07729768753051758, 0.3274385631084442, 0.1757218837738037, 0.20515644550323486, 0.0013166368007659912, 0.27771878242492676, 0.16871926188468933]","[0, 1, 0, 0, 0, 0, 0]"
1052,Deorro,I Can Be Somebody,Motivational,"[0.1717541217803955, 0.3659325838088989, 0.3001694083213806, 0.20769569277763367, 0.03831571340560913, 0.2036435604095459, 0.04092150926589966]","[0, 1, 0, 0, 0, 0, 0]"
1053,Mike Perry,Stay Young,Motivational,"[0.13925912976264954, 0.3410564959049225, 0.27266180515289307, 0.18383505940437317, 0.019444018602371216, 0.299848735332489, 0.036716461181640625]","[0, 1, 0, 0, 0, 0, 0]"
1054,Post Malone,A Thousand Bad Times,Motivational,"[0.07147219777107239, 0.19580790400505066, 0.18534356355667114, 0.295146644115448, 0.0015860795974731445, 0.16989439725875854, 0.020428448915481567]","[0, 0, 0, 1, 0, 0, 0]"
1055,Keala Settle,This Is Me (Alan Walker Relift),Motivational,"[0.10084882378578186, 0.28891316056251526, 0.18730556964874268, 0.20548230409622192, 0.0018542110919952393, 0.24326089024543762, 0.005081832408905029]","[0, 1, 0, 0, 0, 0, 0]"
1056,Mike Williams & Mesto,Wait Another Day,Motivational,"[0.2879026532173157, 0.41625458002090454, 0.34118419885635376, 0.33831551671028137, 0.11339381337165833, 0.2837664783000946, 0.06477019190788269]","[0, 1, 0, 0, 0, 0, 0]"
1057,Gryffin & Seven Lions,Need Your Love,Motivational,"[0.07906031608581543, 0.37227821350097656, 0.32787421345710754, 0.2698027491569519, 0.06717261672019958, 0.13305068016052246, 0.0062805116176605225]","[0, 1, 0, 0, 0, 0, 0]"
1058,Martin Garrix,High on Life,Motivational,"[0.19978582859039307, 0.3697720170021057, 0.28864729404449463, 0.2768994867801666, 0.006742119789123535, 0.20275378227233887, 0.06855806708335876]","[0, 1, 0, 0, 0, 0, 0]"
1059,Katy Perry,Firework,Motivational,"[0.09439504146575928, 0.2928066849708557, 0.2261335551738739, 0.17926841974258423, 0.0013085603713989258, 0.039807409048080444, 0.018175989389419556]","[0, 1, 0, 0, 0, 0, 0]"
1060,Avicii,Without You,Motivational,"[0.20303264260292053, 0.3246634602546692, 0.31221550703048706, 0.3671121597290039, 0.040017545223236084, 0.15934932231903076, 0.0991773009300232]","[0, 0, 0, 1, 0, 0, 0]"
1061,Madkol,Madkol’s Bio,Motivational,"[0.03836870193481445, 0.019220590591430664, 0.016447216272354126, 0.08363592624664307, 2.2003405319992453e-08, 0.06018748879432678, 0.0027118921279907227]","[0, 0, 0, 1, 0, 0, 0]"
1062,Rachel Platten,Fight Song,Motivational,"[0.2134658694267273, 0.31578385829925537, 0.15904417634010315, 0.224678635597229, 0.003352552652359009, 0.060983359813690186, 0.036142200231552124]","[0, 1, 0, 0, 0, 0, 0]"
1063,Armin van Buuren,Blah Blah Blah,Motivational,"[0.33296462893486023, 0.39822056889533997, 0.36661913990974426, 0.4137568771839142, 0.1804560124874115, 0.3845439851284027, 0.21881911158561707]","[0, 0, 0, 1, 0, 0, 0]"
1064,Trinidad James,Graduated (from Night School),Motivational,"[0.09562245011329651, 0.08707797527313232, 0.09891271591186523, 0.16528141498565674, 0.00013488531112670898, 0.14611083269119263, 0.02924931049346924]","[0, 0, 0, 1, 0, 0, 0]"
1065,Martin Garrix,Don’t Look Down,Motivational,"[0.11991855502128601, 0.3703407049179077, 0.2907952666282654, 0.21430790424346924, 0.00558045506477356, 0.23506495356559753, 0.040696412324905396]","[0, 1, 0, 0, 0, 0, 0]"
1066,Justin Bieber,I’ll Show You,Motivational,"[0.22732767462730408, 0.35601991415023804, 0.2850158214569092, 0.36468738317489624, 0.09285435080528259, 0.18031606078147888, 0.05269941687583923]","[0, 0, 0, 1, 0, 0, 0]"
1067,American Authors,Best Day of My Life,Motivational,"[0.19390949606895447, 0.2655918002128601, 0.33869147300720215, 0.16451039910316467, 0.0010824799537658691, 0.2247888743877411, 0.021274089813232422]","[0, 0, 1, 0, 0, 0, 0]"
1068,Imagine Dragons,On Top of the World,Motivational,"[0.1806987226009369, 0.3540061116218567, 0.30128785967826843, 0.18210574984550476, 0.029367059469223022, 0.18078461289405823, 0.023740142583847046]","[0, 1, 0, 0, 0, 0, 0]"
1069,Tinie Tempah,Written in the Stars,Motivational,"[0.14197972416877747, 0.16444623470306396, 0.08987629413604736, 0.25540685653686523, 0.00016826391220092773, 0.03278595209121704, 0.03692638874053955]","[0, 0, 0, 1, 0, 0, 0]"
1070,Sheppard,Geronimo,Motivational,"[0.12655776739120483, 0.34682124853134155, 0.211541086435318, 0.2021367847919464, 0.005640685558319092, 0.18488416075706482, 0.02697587013244629]","[0, 1, 0, 0, 0, 0, 0]"
1071,NF,Alone,Motivational,"[0.03478482365608215, 0.30304136872291565, 0.14088717103004456, 0.13124936819076538, 0.0001633167266845703, 0.10231336951255798, 0.0001519322395324707]","[0, 1, 0, 0, 0, 0, 0]"
1072,Avicii,Broken Arrows,Motivational,"[0.09223765134811401, 0.33638501167297363, 0.25316089391708374, 0.17572790384292603, 0.005219876766204834, 0.10471084713935852, 0.012814521789550781]","[0, 1, 0, 0, 0, 0, 0]"
1073,The Wanted,Glad You Came,Motivational,"[0.22711297869682312, 0.39030033349990845, 0.3369581997394562, 0.25286614894866943, 0.05874904990196228, 0.17428776621818542, 0.08874461054801941]","[0, 1, 0, 0, 0, 0, 0]"
1074,Katy Perry,Rise,Motivational,"[0.10001975297927856, 0.33572742342948914, 0.14681631326675415, 0.17439961433410645, 0.004843294620513916, 0.18329325318336487, 0.035135090351104736]","[0, 1, 0, 0, 0, 0, 0]"
1075,Alessia Cara,Scars to Your Beautiful,Motivational,"[0.05156832933425903, 0.29946571588516235, 0.32294440269470215, 0.17655518651008606, 0.00487440824508667, 0.018067508935928345, 0.0029320716857910156]","[0, 0, 1, 0, 0, 0, 0]"
1076,Martin Garrix & Matisse & Sadko,Hold On,Motivational,"[0.09671139717102051, 0.42789191007614136, 0.2854011058807373, 0.18866360187530518, 0.008359283208847046, 0.22107461094856262, 0.02641168236732483]","[0, 1, 0, 0, 0, 0, 0]"
1077,Mike Posner,Move On,Motivational,"[0.21211117506027222, 0.37346041202545166, 0.2621448040008545, 0.40274178981781006, 0.02567124366760254, 0.19106319546699524, 0.12893033027648926]","[0, 0, 0, 1, 0, 0, 0]"
1078,Icona Pop,I Love It,Motivational,"[0.12114912271499634, 0.2829381227493286, 0.33627909421920776, 0.37994855642318726, 0.027395695447921753, 0.3322520852088928, 0.056545376777648926]","[0, 0, 0, 1, 0, 0, 0]"
1079,Kygo & Sandro Cavazza & Vedi,Happy Now (Vedi Remix),Motivational,"[0.17956414818763733, 0.4053313434123993, 0.28999388217926025, 0.3261871337890625, 0.0515403151512146, 0.15904957056045532, 0.03953489661216736]","[0, 1, 0, 0, 0, 0, 0]"
1080,Naughty Boy & Mike Posner,Live Before I Die,Motivational,"[0.15072864294052124, 0.24282586574554443, 0.14225980639457703, 0.2753933072090149, 0.007387280464172363, 0.22152984142303467, 0.059956640005111694]","[0, 0, 0, 1, 0, 0, 0]"
1081,Drake,Started from the Bottom,Motivational,"[0.20546448230743408, 0.19838345050811768, 0.14780735969543457, 0.2895406484603882, 0.0015956461429595947, 0.19351047277450562, 0.08214950561523438]","[0, 0, 0, 1, 0, 0, 0]"
1082,Future & Juice WRLD,Hard Work Pays Off,Motivational,"[0.05122017860412598, 0.11464744806289673, 0.07506018877029419, 0.3275073766708374, 1.2582776207636925e-06, 0.22087028622627258, 0.14370614290237427]","[0, 0, 0, 1, 0, 0, 0]"
1083,INKREDIBLE SQUAD,Final Cut,Funny,"[0.05044129490852356, 0.0632571280002594, 0.07147085666656494, 0.11708933115005493, 1.6169398122656276e-06, 0.016326099634170532, 0.5552392601966858]","[0, 0, 0, 0, 0, 0, 1]"
1084,Wone,Birth Of The King,Funny,"[0.04636335372924805, 0.09312263131141663, 0.07314926385879517, 0.04825964570045471, 2.7171863621333614e-05, 0.008295923471450806, 0.592423141002655]","[0, 0, 0, 0, 0, 0, 1]"
1085,Killah Priest,Think Priest (Good Thoughts),Funny,"[0.05835595726966858, 0.03694576025009155, 0.0178891122341156, 0.05946260690689087, 1.0328379858037806e-06, 0.00095367431640625, 0.6431492567062378]","[0, 0, 0, 0, 0, 0, 1]"
1086,Robert Penn Warren,All The King’s Men- Chapter 1,Funny,"[6.978751116548665e-06, 2.2458023067883914e-06, 5.897585086955814e-09, 1.0952532647934277e-05, 7.180258037195569e-32, 1.750446922106909e-16, 0.9564739465713501]","[0, 0, 0, 0, 0, 0, 1]"
1087,Richard F. Burton,"Arabian Nights,Vol. 2 (Chap. 3)",Funny,"[1.2169257268546119e-10, 3.033112372374802e-10, 1.7111010145679645e-13, 1.3435148549234555e-09, 0.0, 4.408034602476202e-30, 0.9959444999694824]","[0, 0, 0, 0, 0, 0, 1]"
1088,Algernon Blackwood,The Willows,Funny,"[0.011705935001373291, 0.05198565125465393, 0.010216325521469116, 0.010287076234817505, 1.832614628938245e-07, 4.370801252662204e-05, 0.5907929539680481]","[0, 0, 0, 0, 0, 0, 1]"
1089,​koi,​beverly,Funny,"[0.18677616119384766, 0.22751665115356445, 0.17161336541175842, 0.3104479908943176, 0.0063984692096710205, 0.2941727042198181, 0.03268781304359436]","[0, 0, 0, 1, 0, 0, 0]"
1090,How I Met Your Mother,Matchmaker,Funny,"[0.030240774154663086, 0.07142505049705505, 0.02233639359474182, 0.15776053071022034, 8.529559636372142e-07, 0.0005439817905426025, 0.5492955446243286]","[0, 0, 0, 0, 0, 0, 1]"
1091,Richard F. Burton,"Arabian Nights, Vol. 8 (Chap. 4)",Funny,"[0.000586390495300293, 0.0032992660999298096, 0.00039118528366088867, 0.001472175121307373, 2.9372243874582152e-15, 5.8227008992162155e-08, 0.7631713151931763]","[0, 0, 0, 0, 0, 0, 1]"
1092,Stranger Things,Chapter One: The Vanishing of Will Byers Script,Funny,"[0.00861811637878418, 0.07011082768440247, 0.02000868320465088, 0.08183881640434265, 7.779083830428135e-07, 0.003272145986557007, 0.5206001996994019]","[0, 0, 0, 0, 0, 0, 1]"
1093,Ezra Klein,JournoList Email Exchange,Funny,"[0.0006266534328460693, 0.0001608133316040039, 1.0311874802937382e-06, 0.016235321760177612, 3.725937528107281e-16, 3.6317548968156643e-09, 0.7805951833724976]","[0, 0, 0, 0, 0, 0, 1]"
1094,James Joyce,Finnegan’s Wake (Chap. 2.3),Funny,"[2.1331009065761464e-06, 4.804656782653183e-06, 6.679526265429558e-09, 1.7817212210502476e-05, 1.2080433485861751e-32, 9.686787369412794e-16, 0.9807357788085938]","[0, 0, 0, 0, 0, 0, 1]"
1095,Watsky,COVID Relief Freestyle,Funny,"[0.06676307320594788, 0.19470509886741638, 0.13177314400672913, 0.3592596650123596, 0.0013297498226165771, 0.06226268410682678, 0.12897905707359314]","[0, 0, 0, 1, 0, 0, 0]"
1096,Genius,July 2016 Album Release Calendar,Funny,"[0.10199272632598877, 0.1861337125301361, 0.09780609607696533, 0.1910839080810547, 0.0010180473327636719, 0.02503034472465515, 0.39628106355667114]","[0, 0, 0, 0, 0, 0, 1]"
1097,Henry David Thoreau,Cape Cod: Chapter 4 (The Beach),Funny,"[2.9747544427749517e-09, 1.1514686093505588e-07, 1.7654391837318428e-11, 2.9470537121767393e-09, 0.0, 2.0142301037370183e-23, 0.9869766235351562]","[0, 0, 0, 0, 0, 0, 1]"
1098,Francois Rabelais,Gargantua and Pantagruel (Chap. 3.24),Funny,"[0.00933617353439331, 0.02657294273376465, 0.0016058087348937988, 0.024805396795272827, 4.489198943136152e-12, 2.0346320184216893e-07, 0.7411392331123352]","[0, 0, 0, 0, 0, 0, 1]"
1099,Nik Kershaw,From Cloudy Bay to Malibu,Funny,"[0.2543838620185852, 0.24864211678504944, 0.09187436103820801, 0.22708824276924133, 0.005416601896286011, 0.04642859101295471, 0.5257946848869324]","[0, 0, 0, 0, 0, 0, 1]"
